StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q21,Q7,Q7_34_TEXT,Q7_44_TEXT,Q7_39_TEXT,Q8,Q11,Q12,Q26,Q26_15_TEXT,Q14,Q15,Q24,Q24_71_TEXT,Q25,Q25_71_TEXT,Q18,Q18_40_TEXT,Q19,Q19_13_TEXT,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q20_12,Q20_13,Q20_14,Q20_15,Q20_16,Q20_17,Q20_18,Q20_19,Q20_20,Q20_21,Q20_21_TEXT,Q22,Q22_15_TEXT,Q22_13_TEXT,Q3,Q6,Q13
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is the name of the organisation you wish to add to the Directory?,"For large organisations whose remit spans beyond retrofit, please consider submitting a specific department or unit to the Directory. 

Please enter the department or unit name here, if relevant. Otherwise, please leave blank.","What is the organisation's main type? 

(If none of these options fit well, please select 'other' and specify) - Selected Choice","What is the organisation's main type? 

(If none of these options fit well, please select 'other' and specify) - Other public body (please specify type) - Text","What is the organisation's main type? 

(If none of these options fit well, please select 'other' and specify) - Other private company (please specify type) - Text","What is the organisation's main type? 

(If none of these options fit well, please select 'other' and specify) - Other non-profit (please specify type) - Text",What geographic scope does the organisation cover? (Please choose the most relevant one),List of Countries,"For UK-based organisations, in which county is it based?",In which geographic areas is the organisation currently operating? (Select all that apply) - Selected Choice,In which geographic areas is the organisation currently operating? (Select all that apply) - Other (please specify) - Text,What is the main mission or remit of the organisation?,How is the organisation’s work relevant to retrofit?,"In terms of retrofit, what is the organisation's primary activity? (Please select one. More detail can be provided when answering the following questions.) - Selected Choice","In terms of retrofit, what is the organisation's primary activity? (Please select one. More detail can be provided when answering the following questions.) - None of the above / other (please specify) - Text","In terms of retrofit, what other activities does the organisation carry out? (Select all that apply) - Selected Choice","In terms of retrofit, what other activities does the organisation carry out? (Select all that apply) - None of the above / other (please specify) - Text","In terms of retrofit, what are the organisation's areas of specialism? (Select all that apply) - Selected Choice","In terms of retrofit, what are the organisation's areas of specialism? (Select all that apply) - None of the above / other (please specify) - Text","In terms of retrofit, what methods or technical skills does the organisation use? (Select all that apply) - Selected Choice","In terms of retrofit, what methods or technical skills does the organisation use? (Select all that apply) - None of the above / other (please specify) - Text","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - People experiencing fuel poverty","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - People with health conditions affected by housing","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Other groups experiencing inequalities or vulnerabilities","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Tenants' or residents' associations","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Community groups or organisations","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - General public","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Local or combined authority officers or councillors","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Central government officials or agencies","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Regulators or standards bodies or professionals","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Funders, investors or grant-makers","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Social housing providers","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Housing associations or other non-profit providers","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Private housing providers / landlords / letting agents","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Developers / builders / contractors / installers","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Product developers / manufacturers / suppliers","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Architects / engineers / other design professionals","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Building / facilities managers","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Researchers","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Network convenors","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Consultants or advisors","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Other groups or audiences (please specify)","In terms of retrofit, who does the organisation work with, directly or indirectly? (Select all that apply) - Other groups or audiences (please specify) - Text",Has the organisation managed the delivery of local initiatives funded through any of the following schemes? (select all that apply) - Selected Choice,Has the organisation managed the delivery of local initiatives funded through any of the following schemes? (select all that apply) - Local authority finance fund (please specify) - Text,Has the organisation managed the delivery of local initiatives funded through any of the following schemes? (select all that apply) - Other (please specfy) - Text,"Please add a link to the organisation’s website or web page. If it does not have a website or page, please leave blank.","Please provide a general contact email for the organisation (e.g. ‘info@...’).



Please do not provide a personal email address. If the organisation does not have a general email address, please leave blank.",Approximately how many employees does the organisation have?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_34_TEXT""}","{""ImportId"":""QID7_44_TEXT""}","{""ImportId"":""QID7_39_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_15_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_71_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_71_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_40_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_13_TEXT""}","{""ImportId"":""QID20_19""}","{""ImportId"":""QID20_20""}","{""ImportId"":""QID20_21""}","{""ImportId"":""QID20_14""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_15""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_8""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_13""}","{""ImportId"":""QID20_10""}","{""ImportId"":""QID20_27""}","{""ImportId"":""QID20_16""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_22""}","{""ImportId"":""QID20_17""}","{""ImportId"":""QID20_18""}","{""ImportId"":""QID20_23""}","{""ImportId"":""QID20_25""}","{""ImportId"":""QID20_24""}","{""ImportId"":""QID20_7""}","{""ImportId"":""QID20_7_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_15_TEXT""}","{""ImportId"":""QID22_13_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID13""}"
2026-05-06 03:56:02,2026-05-06 04:01:54,Survey Preview,,100,351,True,2026-05-06 04:01:55,R_8I0lHSn8Za1FI0X,,,,,51.6216,-0.055,preview,EN,INHABIT Hub,,Academic department / group / network,,,,National,United Kingdom,West Midlands (England),,,"The INHABIT Hub’s role is to make sure the UK’s move to net zero homes also creates healthier places to live. It does this by generating new scientific evidence on the impacts of retrofitting in real homes, and turning this into practical advice for government and industry professionals.","Generating data on the impact of retrofit in homes (on energy, air quality, health); using this to develop tools that support decision-making about retrofit at scale. ",Monitoring and evaluation,,"Influencing / developing policy,Network coordination or knowledge exchange,Producing guidance,Qualtiative research,Quantitative research",,"Housing energy efficiency,Indoor Air Quality (IAQ),Outdoor Air Quality (OAQ),Atmospheric dispersion,Energy demand and / or use,Energy efficiency,Damp and mould,Temperature,Occupant behaviour,Building fabric,Heating, ventilation and air conditioning (HVAC),Individual and / or public health,Inequalities / vulnerabilities,Public engagement and participation in energy systems,Complexity and systems approaches (in research / governance / policy)",,"Modelling / analytics,Forecasting / scenario development,Social / qualitative research",,,Indirectly,,,Directly,,Directly,Directly,,,Directly,,Directly,Directly,,,,Directly,Directly,Directly,,,Other (please specfy),,,https://www.inhabithub.org.uk/,inhabit@contacts.bham.ac.uk.,10-49
2026-05-20 04:13:49,2026-05-20 04:27:25,IP Address,80.6.197.116,100,815,True,2026-05-20 04:27:26,R_8z8X3hTwjTC9uxw,,,,,52.8901,-1.4522,anonymous,EN,Her Retrofit Space,,"Community group / organisation, Community Interest Company or Residents' Association",,,,International,United Kingdom,Greater London (England),,,To support and empower professional women to shape the future of the UK retrofit industry.,It supports women professionals working in the retrofit sector to further their work.,Network coordination or knowledge exchange,,"Network coordination or knowledge exchange,Producing guidance,Community engagement / outreach,Qualtiative research,Training provision or accreditation",,"Housing provision,Housing energy efficiency,Commercial / non-domestic buildings energy efficiency,Product installation / retrofit implementation,Retrofit financing,Building standards and quality,Health and Safety in buildings,Indoor Air Quality (IAQ),Outdoor Air Quality (OAQ),Atmospheric dispersion,Energy demand and / or use,Energy efficiency,Damp and mould,Temperature,Occupant behaviour,Building fabric,Heating, ventilation and air conditioning (HVAC),Individual and / or public health,Fuel poverty,Inequalities / vulnerabilities,Governance and institutions,Public engagement and participation in energy systems,Community organising,Markets, supply chains, finance,Complexity and systems approaches (in research / governance / policy)",,Product installation / retrofit implementation,,,,,,,,,,,,,,Indirectly,Directly,Directly,Directly,Directly,Directly,Directly,Directly,,,,,,herretrofitspace.com,hello@herretrofitspace.com,<9
2026-05-20 04:26:59,2026-05-20 04:33:35,IP Address,188.39.66.195,100,395,True,2026-05-20 04:33:36,R_8ln4UU8WywxFZFq,,,,,50.7985,-1.206,anonymous,EN,Solent Architecture Ltd,,Architect / engineer / retrofit designer,,,,Regional,United Kingdom,Hampshire (England),,,"To help clients improve there homes and buildings for there wellbeing and comfort through retrofit. ","We provide homeowners and building owners with retrofit plans and design services to help implement those plans. ",Retrofit project or scheme management,,"Housing design, architecture or engineering",,"Product installation / retrofit implementation,Building standards and quality,Building fabric",,"Building design / engineering,Quality assessment / audit (of buildings or retrofits),Product installation / retrofit implementation",,,,,,,Directly,,,,,,,Directly,Directly,,Directly,,,,,,,,,,www.solentarchitecture.co.uk,hello@solentarchitecture.co.uk,<9
2026-05-20 04:18:24,2026-05-20 04:37:19,IP Address,151.225.134.142,100,1135,True,2026-05-20 04:37:20,R_8Khzuk6O27O6CXv,,,,,51.4504,-0.0367,anonymous,EN,RVI Design,,Architect / engineer / retrofit designer,,,,Regional,United Kingdom,Greater London (England),,,"To empower homeowners with a personalised, holistic, architecturally robust, phased plan to improve comfort, health and energy efficiency in their home.","Provide retrofit plans that support optimum outcomes for occupants, preservation of the existing building and long-term decarbonisation",Advising residents / the public,,"Designing retrofit policy, strategy or schemes (for national, regional or local government),Network coordination or knowledge exchange,Campaigning / activism,Producing guidance,Community engagement / outreach,Advising residents / the public,Housing design, architecture or engineering,Retrofit project or scheme management,Community energy initiatives or Do It Together (DIT)",,"Housing energy efficiency,Commercial / non-domestic buildings energy efficiency,Product installation / retrofit implementation,Indoor Air Quality (IAQ),Energy demand and / or use,Energy efficiency,Damp and mould,Temperature,Occupant behaviour,Building fabric,Individual and / or public health,Fuel poverty,Inequalities / vulnerabilities,Complexity and systems approaches (in research / governance / policy)",,"Building design / engineering,Product installation / retrofit implementation,Modelling / analytics,Advice / advocacy,Financing / financial design",,Indirectly,Directly,Indirectly,Indirectly,Directly,Directly,Directly,Indirectly,Directly,Indirectly,Indirectly,Indirectly,Directly,Directly,Directly,Directly,Directly,Directly,Directly,Directly,,,Local Net Zero Hubs Programme,,,www.rvihug.com,home@rvihug.com,<9
2026-05-20 04:30:24,2026-05-20 04:43:28,IP Address,103.219.20.82,100,783,True,2026-05-20 04:43:29,R_2LdxgY1aOZBN5X4,,,,,53.4809,-2.2374,anonymous,EN,SuSy (Sustainable Systems Ltd),,Other private company (please specify type),,Retrofit Engagement and Delivery Software Supplier,,National,United Kingdom,Bristol (England),,,"To improve the householder journey, streamlining and simplifying engagement and project management / customer liaison efforts for Local Authorities, Housing Associations and Contractors involved in grant funded and self funded retrofit delivery.",Our software is designed specifically with the intention of streamlining retrofit.,Advising residents / the public,,"Community engagement / outreach,Monitoring and evaluation,Retrofit project or scheme management",,"Housing energy efficiency,Product installation / retrofit implementation,Energy demand and / or use,Energy efficiency,Individual and / or public health,Fuel poverty,Inequalities / vulnerabilities,Public engagement and participation in energy systems,Markets, supply chains, finance",,"Software development,Modelling / analytics,Forecasting / scenario development,Advice / advocacy,Community engagement or participatory methodologies",,Indirectly,Indirectly,Indirectly,Indirectly,,Indirectly,Directly,Directly,,Directly,Directly,Directly,Directly,Directly,,,Directly,Directly,Directly,Directly,,,"Warm Homes: Local Grant,Local Net Zero Hubs Programme,Energy Company Obligation (LA implementation)",,,https://www.susy.house/,support@susy.house,<9
2026-05-20 04:54:17,2026-05-20 05:03:13,IP Address,172.226.0.7,100,535,True,2026-05-20 05:03:14,R_2mdIVM5O64OC3PX,,,,,51.5081,-0.1278,anonymous,EN,University of the West of England,Centre for Advanced Built Environment Research (CABER),Academic department / group / network,,,,International,United Kingdom,Bristol (England),,," CABER looks to push the frontiers of knowledge to develop exciting and innovative cross-disciplinary research towards a sustainable, resilient and just built environment for all. Through both pure academic research, applied research and partnerships with other organisations. ","Many of CABER's members are involved in research into various aspects of retrofit. Including work on barriers to uptake, whole life carbon and the circular economy and increasing building resilience to future climate change. ",None of the above / other (please specify),Interdisciplinary research,"Influencing / developing policy,Network coordination or knowledge exchange,Producing guidance,Community engagement / outreach,Advising residents / the public,Qualtiative research,Quantitative research,Monitoring and evaluation,Housing design, architecture or engineering,Product design / development,Training provision or accreditation",,"Housing energy efficiency,Commercial / non-domestic buildings energy efficiency,Product installation / retrofit implementation,Building standards and quality,Indoor Air Quality (IAQ),Energy demand and / or use,Energy efficiency,Occupant behaviour,Building fabric,Heating, ventilation and air conditioning (HVAC),Individual and / or public health,Public engagement and participation in energy systems,Markets, supply chains, finance,Complexity and systems approaches (in research / governance / policy)",,"Product design / development,Building design / engineering,Quality assessment / audit (of buildings or retrofits),Software development,Quantitative data collection and monitoring,Modelling / analytics,Forecasting / scenario development,Community engagement or participatory methodologies,Social / qualitative research",,,Directly,,Directly,Directly,Directly,Directly,Directly,Directly,Directly,Directly,Directly,Directly,Directly,Directly,Directly,,Directly,Directly,Directly,,,,,,https://www.uwe.ac.uk/research/centres-and-groups/caber,,10-49
2026-05-20 05:17:15,2026-05-20 05:31:02,IP Address,90.217.58.26,100,827,True,2026-05-20 05:31:04,R_2DUFLxWjLTzap4Z,,,,,50.8976,-1.4004,anonymous,EN,AXIS CLC,DECARBONISATION DEPARTMENT,Other public body (please specify type),All of the above.,,,National,United Kingdom,Hampshire (England),,,"We maintain and improve the UK’s essential buildings and social infrastructure, ensuring social housing, healthcare, defence, education, and utility facilities operate efficiently and sustainably.

By maintaining and enhancing these essential environments, we contribute to community wellbeing, energy security, and the nation’s social and economic resilience.","We undertake c£100m in decarbonisation and retrofit works, including SHDF, WH:SHF, ORP, self-funded, domestic and commercial. Either as stand alone decarb contracts, or part of wider planned maintenance contracts.",Product installation / retrofit implementation,,"Influencing / developing policy,Funding, financing models and grant provision,Designing retrofit policy, strategy or schemes (for national, regional or local government),Regulating industry or developing technical standards,Assessment, compliance or quality assurance,Network coordination or knowledge exchange,Producing guidance,Community engagement / outreach,Advising residents / the public,Qualtiative research,Quantitative research,Monitoring and evaluation,Housing provision (local authority, housing association, landlord, etc.),Housing design, architecture or engineering,Product design / development,Product supply / distribution,Product installation / retrofit implementation,Retrofit project or scheme management,Community energy initiatives or Do It Together (DIT)",,"Housing provision,Housing energy efficiency,Commercial / non-domestic buildings energy efficiency,Product installation / retrofit implementation,Building standards and quality,Health and Safety in buildings,Indoor Air Quality (IAQ),Atmospheric dispersion,Energy demand and / or use,Energy efficiency,Damp and mould,Temperature,Building fabric,Heating, ventilation and air conditioning (HVAC),Fuel poverty,Inequalities / vulnerabilities,Governance and institutions,Public engagement and participation in energy systems",,"Product design / development,Building design / engineering,Quality assessment / audit (of buildings or retrofits),Product installation / retrofit implementation,Community energy initiatives / Do It Together (DIT),Quantitative data collection and monitoring,Modelling / analytics,Forecasting / scenario development,Advice / advocacy,Community engagement or participatory methodologies,Financing / financial design",,Directly,Directly,Directly,Directly,Directly,,Directly,Directly,Directly,Directly,Directly,Directly,,Directly,Directly,Directly,Directly,Directly,Directly,Directly,,,"Warm Homes: Social Housing Fund,Warm Homes: Local Grant,Great British Energy: Local Power Plan,Green Homes Grant,Other (please specfy)",,"ORP, LAD, MAYORS FUNDS, PSDS",https://www.axisclc.com/,paul.rogers@axisclc.com,250+
2026-05-20 06:24:51,2026-05-20 06:36:02,IP Address,90.250.167.150,100,670,True,2026-05-20 06:36:02,R_84xhvZRyrWogG6j,,,,,55.8235,-3.0933,anonymous,EN,Loco Home Retrofit CIC,,Other non-profit (please specify type),,,Retrofit agency/ intermediary,Regional,United Kingdom,Glasgow City (Scotland),,,To accelerate the decarbonisation of homes in Greater Glasgow,"We provide advice and support services concerning insulation, ventilation, heating and other green home improvements.",Advising residents / the public,,"Influencing / developing policy,Producing guidance,Community engagement / outreach,Qualtiative research,Quantitative research,Monitoring and evaluation,Retrofit project or scheme management,Community energy initiatives or Do It Together (DIT)",,"Housing energy efficiency,Product installation / retrofit implementation,Energy efficiency,Heating, ventilation and air conditioning (HVAC),Public engagement and participation in energy systems",,"Quality assessment / audit (of buildings or retrofits),Product installation / retrofit implementation,Community energy initiatives / Do It Together (DIT),Modelling / analytics,Advice / advocacy,Community engagement or participatory methodologies,Social / qualitative research",,,,,,Indirectly,Directly,Directly,Directly,,Directly,,,,,Indirectly,Directly,,Directly,Directly,Indirectly,,,"Local Net Zero Hubs Programme,Local Net Zero Accelerator Programme,Other (please specfy)",,Scottish Government Climate Engagement Fund,locohome.coop,chris@locohome.coop,<9
